Reporting Starts,Reporting Ends,Campaign Name,Impressions,Mobile App Installs,Amount Spent (USD)
2021-02-01,2021-05-09,CQ_GP_US_en_CBO-LC_MAI_2021-02-09,23950,97,400
2021-02-01,2021-05-09,CQ_GP_US_en_CBO-LC_MAI_Wide_2021-02-09,21926,201,693.12
2021-02-01,2021-05-09,CQ_GP_US_en_CBO-LC_MAI_AAA-Installs_2021-02-09,4252,65,156.08
2021-02-01,2021-05-09,CQ_GP_US_en_CBO-LC_MAI_AAA-Install-Purchase_2021-02-09,10924,19,215.01
2021-02-01,2021-05-09,CQ_GP_US_en_CBO-LC_MAI_AAA-Purchase_2021-02-09,10813,100,902.09
2021-02-01,2021-05-09,CQ_GP_TH-VN_en_CBO-LC_MAI_Wide_2021-02-09,187228,477,441.93
2021-02-01,2021-05-09,CQ_GP_DE_en_CBO-LC_MAI_AAA-Installs_2021-02-10,28965,276,525.38
2021-02-01,2021-05-09,CQ_GP_US_en_CBO-LC_MAI_Banners_2021-02-20,77044,281,833.91
2021-02-01,2021-05-09,CQ_GP_DE_de_AAA-Installs_Banners_2021-02-24,30149,180,306.81
2021-02-01,2021-05-09,CQ_GP_IT_en_AAA-Installs_Banners_2021-02-27,45260,190,131.38
2021-02-01,2021-05-09,CQ_GP_KR_ko_AAA-Installs_Banners_2021-02-27,13290,126,232.57
2021-02-01,2021-05-09,CQ_GP_FR_fr_AAA-Installs_Banners_2021-02-27,24546,119,164.42
2021-02-01,2021-05-09,CQ_GP_US_en_CBO-LC_MAI_AAA-Purchase_2021-03-27,88,0,1.99
2021-02-01,2021-05-09,CQ_GP_US_en_CBO-LC_MAI_AAA-Install-Purchase_2021-03-27,36036,87,1030.74
2021-02-01,2021-05-09,CQ_GP_US_en_CBO-CC_MAI_BannersTest-Group1_2021-03-27,27759,51,491.38
2021-02-01,2021-05-09,CQ_GP_US_en_CBO-CC_MAI_BannersTest-Group2_2021-03-27,55254,83,694.92
2021-02-01,2021-05-09,CQ_GP_US_en_CBO-CC_MAI_BannersTest-Group3_2021-03-27,32425,60,430.35
2021-02-01,2021-05-09,CQ_GP_US_en_CBO-CC_MAI_BannersTest-Group4_2021-03-27,36323,62,534.28
2021-02-01,2021-05-09,CQ_GP_US_en_CBO-LC_AEO_Purchase7d_2021-04-01,29030,234,2378.28
2021-02-01,2021-05-09,CQ_GP_US_en_CBO-LC_AEO_Purchase7d_duplicate_2021-04-04,1520,13,156.4
2021-02-01,2021-05-09,CQ_GP_US_en_CBO-LC_MAI_VideoTest-Group1_2021-04-05,58331,453,2102.17
2021-02-01,2021-05-09,CQ_GP_US_en_CBO-LC_MAI_VideoTest-Group2_2021-04-05,73870,344,2095.01
2021-02-01,2021-05-09,CQ_GP_US_en_CBO-LC_VO_2021-04-05,46228,113,3836.73
2021-02-01,2021-05-09,CQ_GP_US_en_CBO-LC_LAL_AEO-Purchase7d_2021-04-05,38943,128,3860.38
2021-02-01,2021-05-09,CQ_GP_UK_en_CBO-LC_VO-minROAS_2021-04-16,6202,27,328.94
2021-02-01,2021-05-09,CQ_GP_UK_en_CBO-LC_MAI_2021-04-16,28172,217,446.49
2021-02-01,2021-05-09,CQ_GP_US_en_CBO-LC_VO-minROAS_2021-04-16,3129,6,249.57
