Date,Spend
3/22/2021,37.22
3/23/2021,51.03
3/24/2021,51.37
3/25/2021,50.97
3/26/2021,32.1
3/27/2021,51.48
3/28/2021,51.01
3/29/2021,50.79
3/30/2021,101.31
3/31/2021,101.39
4/1/2021,101.74
4/2/2021,101.85
4/3/2021,101.71
4/4/2021,101.93
4/5/2021,101.53
4/6/2021,101.7
4/7/2021,101.6
4/8/2021,101.99
4/9/2021,101.64
4/10/2021,101.02
4/11/2021,101.82
4/12/2021,101.35
4/13/2021,100.98
4/14/2021,100.99
4/15/2021,93.94
4/16/2021,101.94
4/17/2021,101.52
4/18/2021,101.64
4/19/2021,100.6
4/20/2021,48.05
4/21/2021,110.9
4/22/2021,76.13
4/23/2021,110.79
4/24/2021,135.09
4/25/2021,85.13
4/26/2021,73.65
4/27/2021,61.24
4/28/2021,117.55
4/29/2021,45.36
4/30/2021,0.02
5/1/2021,0
5/2/2021,0
5/3/2021,0
5/4/2021,0
5/5/2021,0
5/6/2021,55.13
5/7/2021,89.48
5/8/2021,131.91
5/9/2021,175.78
